Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-12-12 00:00:00-05:00,0.09883446991443634,0.09926416115370361,0.09883446991443634,0.09883446991443634,469033600,0.0,0.0
1980-12-15 00:00:00-05:00,0.09410790488811285,0.09410790488811285,0.09367821365594864,0.09367821365594864,175884800,0.0,0.0
1980-12-16 00:00:00-05:00,0.08723208599299893,0.08723208599299893,0.0868024006485939,0.0868024006485939,105728000,0.0,0.0
1980-12-17 00:00:00-05:00,0.08895087242126465,0.08938056366518703,0.08895087242126465,0.08895087242126465,86441600,0.0,0.0
1980-12-18 00:00:00-05:00,0.09152980893850327,0.09195949459404122,0.09152980893850327,0.09152980893850327,73449600,0.0,0.0
1980-12-19 00:00:00-05:00,0.09711567312479019,0.0975453641724434,0.09711567312479019,0.09711567312479019,48630400,0.0,0.0
1980-12-22 00:00:00-05:00,0.10184229165315628,0.10227275167092632,0.10184229165315628,0.10184229165315628,37363200,0.0,0.0
1980-12-23 00:00:00-05:00,0.1061398983001709,0.10656958935489515,0.1061398983001709,0.1061398983001709,46950400,0.0,0.0
1980-12-24 00:00:00-05:00,0.11172592639923096,0.11215561775705991,0.11172592639923096,0.11172592639923096,48003200,0.0,0.0
1980-12-26 00:00:00-05:00,0.12203919142484665,0.1224688826857932,0.12203919142484665,0.12203919142484665,55574400,0.0,0.0
1980-12-29 00:00:00-05:00,0.12375792115926743,0.12418761233745913,0.12375792115926743,0.12375792115926743,93161600,0.0,0.0
1980-12-30 00:00:00-05:00,0.12117971928442844,0.12117971928442844,0.12075003981590271,0.12075003981590271,68880000,0.0,0.0
1980-12-31 00:00:00-05:00,0.11774239110144888,0.11774239110144888,0.11731269955635071,0.11731269955635071,35750400,0.0,0.0
1981-01-02 00:00:00-05:00,0.11860167235136032,0.11946105478677137,0.11860167235136032,0.11860167235136032,21660800,0.0,0.0
1981-01-05 00:00:00-05:00,0.11645325012480705,0.11645325012480705,0.11602357029914856,0.11602357029914856,35728000,0.0,0.0
1981-01-06 00:00:00-05:00,0.11129618564391083,0.11129618564391083,0.1108664944767952,0.1108664944767952,45158400,0.0,0.0
1981-01-07 00:00:00-05:00,0.10656958935489515,0.10656958935489515,0.1061398983001709,0.1061398983001709,55686400,0.0,0.0
1981-01-08 00:00:00-05:00,0.10442121816506501,0.10442121816506501,0.1039915382862091,0.1039915382862091,39827200,0.0,0.0
1981-01-09 00:00:00-05:00,0.10957742482423782,0.11000711596144981,0.10957742482423782,0.10957742482423782,21504000,0.0,0.0
1981-01-12 00:00:00-05:00,0.10957746084159534,0.10957746084159534,0.10871808975934981,0.10871808975934982,23699200,0.0,0.0
1981-01-13 00:00:00-05:00,0.10528054959416014,0.10528054959416014,0.10485085844993591,0.10485085844993591,23049600,0.0,0.0
1981-01-14 00:00:00-05:00,0.1052805632352829,0.1057102544351819,0.1052805632352829,0.1052805632352829,14291200,0.0,0.0
1981-01-15 00:00:00-05:00,0.10742902010679245,0.10828839113070722,0.10742902010679245,0.10742902010679245,14067200,0.0,0.0
1981-01-16 00:00:00-05:00,0.10699932411809036,0.10699932411809036,0.10656963288784027,0.10656963288784027,13395200,0.0,0.0
1981-01-19 00:00:00-05:00,0.11301497370004655,0.11344466499971131,0.11301497370004655,0.11301497370004654,41574400,0.0,0.0
1981-01-20 00:00:00-05:00,0.11000711596144981,0.11000711596144981,0.10957742482423782,0.10957742482423782,30083200,0.0,0.0
